id,latitude,longitude,name,full_address,city,state,phone_number,timings,services_offered,,,,,
3.78E+09,12.962,77.64597,TyreTec,"TyreTec India - Multi Brand Lounge, Domlur, Bengaluru, Karnataka 560071",Bengaluru,Karnataka,+91 80415 22110,09:30 AM - 08:30 PM,"Premium tyre sales, 3D Alignment, Balancing",,,,,
3.80E+09,9.367211,76.84694,Tyre rewor,"Sree Krishna Tyre Retreading House, Main Road, Kanjirappally, Kerala 686507",Kanjirappally,Kerala,+91 48282 02551,08:30 AM - 07:30 PM,"Tyre retreading, Puncture repair",,,,,
3.80E+09,9.367045,76.84666,Tyre Deale,"National Tyre Dealers & Vulcanizing, NH-183, Kanjirappally, Kerala 686507",Kanjirappally,Kerala,+91 48282 03314,08:30 AM - 08:30 PM,"Tyre replacement, Tube sales, Puncture repair",,,,,
3.81E+09,9.361496,76.86184,Type Punct,"Highway Puncture Corner & Vulcanizing, Podimattom, Kerala 686512",Podimattom,Kerala,+91 94472 88102,24 Hours,"Emergency puncture service, Heavy vehicle repair",,,,,
3.81E+09,9.367856,76.84816,Auto Works,"Royal Auto Works & Tyre Clinic, KK Road, Kanjirappally, Kerala 686507",Kanjirappally,Kerala,+91 48282 04410,08:30 AM - 08:00 PM,"Puncture repair, Tubeless patch, Tyre repair",,,,,
3.81E+09,9.347285,76.83335,Automobile,"Central Automobile & Tyre Care, Vizhikithode, Kerala 686518",Vizhikithode,Kerala,+91 48282 55104,08:30 AM - 07:30 PM,"Tyre sales, Puncture repair, Air service",,,,,
3.81E+09,9.433043,76.9415,Ponnos Au,"Ponnos Automobiles & Tyre Plaza, Erumely Road, Kanjirappally, Kerala 686507",Kanjirappally,Kerala,+91 48282 11452,09:00 AM - 08:00 PM,"Wheel alignment, Balancing, Tyre sales",,,,,
3.81E+09,9.527374,76.89314,Highway Au,"Highway Auto Tyres & Alignment, KK Road, Mundakayam, Kerala 686513",Mundakayam,Kerala,+91 48282 72114,09:00 AM - 08:30 PM,"Wheel alignment, Balancing, Tyre replacement",,,,,
3.81E+09,9.52838,76.89249,Jithin Auto,"Jithin Auto Tyre Works & Puncture, Main Road, Mundakayam, Kerala 686513",Mundakayam,Kerala,+91 94461 22405,08:00 AM - 09:00 PM,"Puncture repair, Tubeless patch, Air service",,,,,
3.81E+09,9.419716,76.95842,Karthika Pu,"Karthika Puncture Repair & Vulcanizing Shop, Erumely, Kerala 686509",Erumely,Kerala,+91 98475 33410,08:00 AM - 09:30 PM,"Puncture repair, Vulcanizing, Tube sales",,,,,
3.81E+09,9.447318,76.87448,Rajan Tyre,"Rajan Tyres & Rubber Works, Koovappally, Kerala 686518",Koovappally,Kerala,+91 48282 61120,08:30 AM - 08:00 PM,"Tyre retreading, Puncture repair",,,,,
3.81E+09,9.4505,76.88227,Shivani Tw,"Shivani Two Wheeler Tyre Clinic, Ashramam Road, Kanjirappally, Kerala 686507",Kanjirappally,Kerala,+91 94470 55104,08:00 AM - 08:30 PM,"Two wheeler tyre sales, Puncture repair",,,,,
3.81E+09,9.449203,76.881,Tyre Works,"St. Marys Tyre Works & Puncture Hub, Anakkallu, Kerala 686507",Anakkallu,Kerala,+91 48282 01156,08:00 AM - 09:00 PM,"Puncture repair, Tubeless patch, Air service",,,,,
3.81E+09,9.476599,76.84435,Grand Auto,"Grand Auto Tech & Tyre Alignment Plaza, bypass Road, Kanjirappally, Kerala 686507",Kanjirappally,Kerala,+91 48282 05562,09:00 AM - 08:00 PM,"Wheel alignment, Balancing, Tyre sales",,,,,
3.81E+09,9.475073,76.84413,Priya Tyres,"Priya Tyres & Wheel Realignment, Near Private Bus Stand, Kanjirappally, Kerala 686507",Kanjirappally,Kerala,+91 48282 03341,09:00 AM - 08:30 PM,"Wheel alignment, Tyre replacement",,,,,
3.81E+09,9.478354,76.84487,Tyre Repar,"Express Tyre Repair & Puncture Station, NH-183, Kanjirappally, Kerala 686507",Kanjirappally,Kerala,+91 94465 11045,24 Hours,"Emergency puncture service, Air service",,,,,
3.81E+09,9.474364,76.84407,Tyre Shop a,"City Tyre Shop & Vulcanizing Station, Main Bazaar, Kanjirappally, Kerala 686507",Kanjirappally,Kerala,+91 48282 02210,08:30 AM - 08:30 PM,"Tyre replacement, Puncture repair, Tubeless patch",,,,,
3.81E+09,9.480667,76.85236,Ashan Tyre,"Ashan Tyres & Tube Traders, Petta Road, Kanjirappally, Kerala 686507",Kanjirappally,Kerala,+91 48282 01104,08:30 AM - 08:00 PM,"Tyre sales, Tube replacement, Puncture repair",,,,,
3.81E+09,9.531393,76.88603,Kallumpura,"Kallumpurathu Tyre House & Vulcanizing, Varikkani, Kerala 686513",Varikkani,Kerala,+91 94471 66210,08:00 AM - 08:30 PM,"Puncture repair, Vulcanizing, Air service",,,,,
3.81E+09,9.480595,76.85247,New Jothy,"New Jothy Tyre Retreading & Repair Works, Kanjirappally, Kerala 686507",Kanjirappally,Kerala,+91 48282 04415,08:30 AM - 07:30 PM,"Tyre retreading, Vulcanizing",,,,,
3.81E+09,9.484709,76.87157,Ras Works,"Ras Tyre Works & Tubeless Puncture Shop, Chirakkadavu, Kerala 686520",Chirakkadavu,Kerala,+91 98471 00551,08:00 AM - 09:00 PM,"Puncture repair, Tubeless patch, Air service",,,,,
3.81E+09,9.425743,76.85399,Automobile,"Town Automobile Accessories & Tyre Hub, Ponkunnam Road, Kanjirappally, Kerala 686507",Kanjirappally,Kerala,+91 48282 05512,09:00 AM - 08:00 PM,"Tyre replacement, Wheel balancing",,,,,
3.82E+09,9.576166,77.02339,JK Tyres,"JK Tyre Steel Wheels - Sree Krishna Tyres, Peerumedu, Idukki, Kerala 685531",Idukki,Kerala,+91 48692 32114,09:00 AM - 08:00 PM,"Tyre sales, Wheel alignment, Balancing",,,,,
3.82E+09,9.577744,77.01757,KA Royal Ty,"KA Royal Tyres & Wheel Realignment, Kuttikkanam, Idukki, Kerala 685531",Idukki,Kerala,+91 48692 33541,09:00 AM - 08:30 PM,"Wheel alignment, Balancing, Tyre replacement",,,,,
3.82E+09,9.608206,77.16162,Automobile,"Highland Automobiles & Tyre Clinic, Elappara, Idukki, Kerala 685501",Idukki,Kerala,+91 48692 42210,08:30 AM - 08:00 PM,"Tyre replacement, Puncture repair, Air service",,,,,
3.82E+09,9.595665,77.12471,Automobile,"Hillview Automobile Parts & Tyre Care, Vagamon, Idukki, Kerala 685503",Idukki,Kerala,+91 48692 48102,08:30 AM - 07:30 PM,"Puncture repair, Tubeless patch, Tyre sales",,,,,
3.82E+09,9.662263,77.15944,Auto Garag,"Hilltrack Auto Garage & Tyre Works, Kattappana Road, Idukki, Kerala 685515",Idukki,Kerala,+91 48682 72105,08:00 AM - 08:30 PM,"Puncture repair, Tyre repair, Air service",,,,,
3.82E+09,9.618827,77.15812,Hirange Ty,"Hirange Tyres & Wheel Alignment Station, Main Junction, Kattappana, Kerala 685508",Kattappana,Kerala,+91 48682 52210,09:00 AM - 08:30 PM,"Wheel alignment, Balancing, Tyre sales",,,,,
3.82E+09,9.656653,77.15961,Workshop,"High Range Motor Workshop & Tyre Point, Puliyanmala Road, Kattappana, Kerala 685508",Kattappana,Kerala,+91 48682 51104,08:00 AM - 09:00 PM,"Puncture repair, Vulcanizing, Tyre replacement",,,,,
3.85E+09,12.95911,77.65764,Apollo,"Apollo Tyres - Murugan Wheel Care, Murugeshpalya, Bengaluru, Karnataka 560017",Bengaluru,Kerala,+91 80252 00119,09:00 AM - 08:30 PM,"Wheel alignment, Balancing, Tyre sales",,,,,
4.10E+09,12.96095,77.55064,puncher sh,"Bismillah Puncture Shop & Vulcanizing, Mysuru Road, Bengaluru, Karnataka 560026",Bengaluru,Karnataka,+91 98860 33412,08:00 AM - 10:00 PM,"Puncture repair, Tubeless patch, Air service",,,,,
4.19E+09,9.959249,76.24275,Tyre Repai,"Express Tyre Repair & Puncture Corner, Beach Road, Fort Kochi, Kochi, Kerala 682001",Kochi,Kerala,+91 48422 11054,08:00 AM - 09:30 PM,"Puncture repair, Tubeless patch, Tyre repair",,,,,
4.31E+09,12.95905,77.65759,Apollo,"Apollo Tyres - Murugan Wheel Care, Murugeshpalya, Bengaluru, Karnataka 560017",Bengaluru,Kerala,+91 80252 00119,09:00 AM - 08:30 PM,"Wheel alignment, Balancing, Tyre sales",,,,,
4.36E+09,9.661934,80.0353,Tyre Servic,"Jaffna Tyre Service & Vulcanizing Station, Kandy Road, Jaffna, Northern Province 40000",Jaffna,Northern Province,+94 21222 3451,08:00 AM - 07:30 PM,"Puncture repair, Vulcanizing, Tube sales",,,,,
4.36E+09,9.660773,80.043,Tyre Servic,"Northern Tyre Service Plaza, Point Pedro Road, Jaffna, Northern Province 40000",Jaffna,Northern Province,+94 21222 8854,08:30 AM - 08:00 PM,"Tyre replacement, Wheel balancing, Puncture repair",,,,,
4.37E+09,9.658643,80.02124,Tyre Shop &,"City Tyre Shop & Alignment Center, Stanley Road, Jaffna, Northern Province 40000",Jaffna,Northern Province,+94 21222 1045,09:00 AM - 08:00 PM,"Wheel alignment, Balancing, Tyre sales",,,,,
4.43E+09,9.71702,76.68925,Tyre House,"Pala Tyre House & Vulcanizing Station, Bypass Road, Pala, Kerala 686575",Pala,Kerala,+91 48222 11452,08:30 AM - 08:30 PM,"Tyre replacement, Puncture repair, Tubeless patch",,,,,
4.45E+09,9.4103,80.40808,Kunaratna,"Kunaratnam Tyres & Tube Repairs, A9 Highway, Vavuniya, Northern Province 43000",Vavuniya,Northern Province,+94 24222 3314,08:00 AM - 08:00 PM,"Puncture repair, Vulcanizing, Air service",,,,,
4.45E+09,9.327197,76.5321,MRF tyres,"MRF T&S - Exclusive Showroom, TK Road, Tiruvalla, Kerala 689101",Tiruvalla,Kerala,+91 46926 30114,09:00 AM - 08:00 PM,"Tyre sales, Alignment, Wheel balancing",,,,,
4.70E+09,12.88153,77.59689,Bike Point,"Two Wheeler Bike Point & Tyre Clinic, Konanakunte Cross, Bengaluru, Karnataka 560062",Bengaluru,Karnataka,+91 99002 11045,08:30 AM - 09:00 PM,"Two wheeler tyre sales, Puncture repair",,,,,
4.71E+09,10.1763,76.21177,Devi Tyre,"Devi Tyres & Wheel Alignment Plaza, Kodungallur Road, North Paravur, Kerala 683513",North Paravur,Kerala,+91 48424 45102,09:00 AM - 08:30 PM,"Wheel alignment, Balancing, Tyre sales",,,,,
4.84E+09,12.91317,77.60612,Continenta,"Continental Tyres - Royal Wheel Care, BTM Layout 2nd Stage, Bengaluru, Karnataka 560076",Bengaluru,Karnataka,+91 80412 05512,09:30 AM - 08:30 PM,"Premium tyre sales, Wheel alignment, Balancing",,,,,
4.85E+09,12.95723,77.58167,Goodyear,"Goodyear Wheel Center - Standard Tyres, Wilson Garden, Bengaluru, Karnataka 560027",Bengaluru,Karnataka,+91 80222 21105,09:00 AM - 08:00 PM,"Premium tyre sales, Alignment, Balancing",,,,,
4.85E+09,12.95996,77.58321,Ceat,"CEAT Shoppe - Balaji Wheels, Double Road, Shanti Nagar, Bengaluru, Karnataka 560027",Bengaluru,Karnataka,+91 80222 30114,09:00 AM - 08:30 PM,"Premium tyre sales, Wheel alignment, Balancing",,,,,
4.85E+09,13.04013,77.67775,Sri Balaji W,"Sri Balaji Wheel Alignment & Tyre Hub, Outer Ring Road, Horamavu, Bengaluru, Karnataka 560043",Bengaluru,Karnataka,+91 80254 33112,09:00 AM - 08:00 PM,"Wheel alignment, Balancing, Tyre replacement",,,,,
4.85E+09,13.03249,77.67137,Ambar Pur,"Ambar Puncture Shop & Tube Station, Ramamurthy Nagar, Bengaluru, Karnataka 560016",Bengaluru,Karnataka,+91 98455 11042,08:00 AM - 09:30 PM,"Puncture repair, Tubeless patch, Air service",,,,,
4.91E+09,8.548297,76.91839,Anupama T,"Anupama Tyres & Wheel Alignment, Bypass Road, Thiruvananthapuram, Kerala 695011",Thiruvananthapuram,Kerala,+91 47124 55104,09:00 AM - 08:00 PM,"Wheel alignment, Balancing, Tyre sales",,,,,
5.15E+09,12.80638,80.2247,Rajakani P,"Rajakani Puncture & Vulcanizing Works, OMR, Navalur, Chennai, Tamil Nadu 603103",Chennai,Tamil Nadu,+91 98405 22401,08:00 AM - 10:00 PM,"Puncture repair, Vulcanizing, Heavy vehicle fix",,,,,
5.24E+09,9.967114,76.28819,Santha,"Santha Tyres & Retreading House, MG Road, Ernakulam, Kochi, Kerala 682016",Kochi,Kerala,+91 48423 55112,08:30 AM - 07:30 PM,"Tyre retreading, Puncture repair, Air service",,,,,
5.24E+09,9.965346,76.29411,Westend T,"Westend Tyres & Multi Brand Alignment Lounge, Jos Junction, Kochi, Kerala 682016",Kochi,Kerala,+91 48423 77114,09:00 AM - 08:30 PM,"Wheel alignment, Balancing, Premium tyre sales",,,,,
5.31E+09,12.95296,77.57752,Popular Ty,"Popular Tyres & Wheel Alignment Plaza, Lalbagh Fort Road, Bengaluru, Karnataka 560004",Bengaluru,Kerala,+91 80224 22110,09:00 AM - 08:30 PM,"Wheel alignment, Balancing, Tyre replacement",,,,,
5.34E+09,10.99178,76.96006,Raja tyres,"Raja Tyres & Puncture Shop, Pollachi Main Road, Kurichi, Coimbatore, Tamil Nadu 641024",Coimbatore,Tamil Nadu,+91 42224 11562,08:30 AM - 09:00 PM,"Tyre replacement, Tubeless patch, Puncture repair",,,,,
5.40E+09,12.82167,77.62251,Puncher,"Express Puncture Hub & Vulcanizing Station, Electronic City Phase 1, Bengaluru, Karnataka 560100",Bengaluru,Karnataka,+91 99005 66321,24 Hours,"Emergency puncture service, Tubeless patch, Air service",,,,,
5.40E+09,12.9622,77.595,Pirelli,"Pirelli Performance Centre - Speed Tyres, Richmond Road, Bengaluru, Karnataka 560025",Bengaluru,Karnataka,+91 80411 22450,09:30 AM - 08:30 PM,"Premium tyre sales, 3D Alignment, Nitrogen air",,,,,
5.68E+09,10.79652,78.75666,S.K. Tyres,"S.K. Tyres & Alignment Center, Thuvakudi, Tiruchirappalli, Tamil Nadu 620015",Tiruchirappalli,Tamil Nadu,+91 43125 01156,09:00 AM - 08:00 PM,"Wheel alignment, Balancing, Tyre sales",,,,,
5.91E+09,10.54437,76.22285,Tyre Servic,"City Tyre Service & Vulcanizing Corner, Thrissur Main Road, Thrissur, Kerala 680001",Thrissur,Kerala,+91 48724 22540,08:30 AM - 08:30 PM,"Puncture repair, Tubeless patch, Tyre repair",,,,,
6.32E+09,9.62922,76.77571,Kunnath Ty,"Kunnath Tyres & Wheel Realignment, Kanjirappally Road, Ponkunnam, Kerala 686506",Ponkunnam,Kerala,+91 48282 22119,09:00 AM - 08:00 PM,"Wheel alignment, Balancing, Tyre replacement",,,,,
6.62E+09,12.93691,77.51804,CEAT Tyre :,"CEAT Shoppe - Sri Krishna Enterprises, Nayandahalli, Bengaluru, Karnataka 560039",Bengaluru,Karnataka,+91 80267 22114,09:00 AM - 08:30 PM,"Premium tyre sales, Wheel alignment, Balancing",,,,,
6.65E+09,11.16484,76.94917,MRF,"MRF T&S - Exclusive Showroom, Mettupalayam Road, Coimbatore, Tamil Nadu 641043",Coimbatore,Tamil Nadu,+91 42224 38814,09:00 AM - 08:00 PM,"Tyre sales, Alignment, Wheel balancing",,,,,
6.65E+09,11.1677,76.951,Bridgeston,"Bridgestone Select - Pioneer Tyres, GN Mills, Coimbatore, Tamil Nadu 641029",Coimbatore,Tamil Nadu,+91 42226 44119,09:30 AM - 08:00 PM,"Premium tyre sales, Wheel alignment, Balancing",,,,,
6.76E+09,10.10737,76.3652,PMM Tyre H,"PMM Tyre House & Vulcanizing Plaza, Aluva Road, Perumbavoor, Kerala 683542",Perumbavoor,Kerala,+91 48425 22110,08:30 AM - 08:30 PM,"Tyre replacement, Puncture repair, Tube sales",,,,,
6.86E+09,13.06983,77.6228,Sri Durga T,"Sri Durga Tyres & 3D Wheel Alignment, Outer Ring Road, Kalyan Nagar, Bengaluru, Karnataka 560043",Bengaluru,Karnataka,+91 80254 55102,09:00 AM - 09:00 PM,"3D Wheel alignment, Balancing, Tyre sales",,,,,
6.86E+09,10.06472,76.21296,Sidharth ty,"Sidharth Tyres & Puncture Corner, Vypin, Kochi, Kerala 682508",Kochi,Kerala,+91 94475 11024,08:00 AM - 09:00 PM,"Puncture repair, Tubeless patch, Air service",,,,,
6.94E+09,9.692739,76.774,Bismi Tyre,"Bismi Tyres & Vulcanizing Station, Ponkunnam Main Junction, Kerala 686506",Ponkunnam,Kerala,+91 48282 21456,08:30 AM - 08:00 PM,"Puncture repair, Tyre replacement, Air service",,,,,
6.99E+09,10.20638,76.4525,Prince tyre,"Prince Tyres & Wheel Realignment Plaza, Angamaly Road, Chalakudy, Kerala 680307",Chalakudy,Kerala,+91 48027 01156,09:00 AM - 08:30 PM,"Wheel alignment, Balancing, Tyre sales",,,,,
7.07E+09,10.30161,76.21848,MRF Tyres,"MRF T&S - Exclusive Showroom, Irinjalakuda Road, Thrissur, Kerala 680121", Thrissur,Kerala,Kerala,+91 48723 31105,09:00 AM - 08:00 PM,"Tyre sales, Alignment, Wheel balancing",,,,
7.07E+09,10.30078,76.2181,Tyre Resole,"Chalakudy Tyre Resoling & Retreading House, Main Road, Chalakudy, Kerala 680307",Chalakudy,Kerala,+91 48027 05541,08:00 AM - 07:30 PM,"Tyre retreading, Heavy vulcanizing",,,,,
7.08E+09,10.30134,76.21812,Perfect 3D,"Perfect 3D Wheel Alignment & Tyre Care, Market Road, Chalakudy, Kerala 680307",Chalakudy,Kerala,+91 48027 11045,09:00 AM - 08:30 PM,"3D Wheel alignment, Balancing, Tyre replacement",,,,,
7.08E+09,10.52371,76.20197,Premier Ty,"Premier Tyres & Wheel Realignment Lounge, Shornur Road, Thrissur, Kerala 680022",Thrissur,Kerala,+91 48723 22410,09:00 AM - 08:30 PM,"Wheel alignment, Balancing, Tyre sales",,,,,
7.08E+09,10.53669,76.27086,speed vehi,"Speed Vehicle Tyre Clinic & Puncture Corner, Mannuthy, Thrissur, Kerala 680651",Thrissur,Kerala,+91 94460 33412,08:00 AM - 09:30 PM,"Puncture repair, Tubeless patch, Air service",,,,,
7.08E+09,10.53703,76.27182,ncr car a/c,"NCR Car A/C & Tyre Service Station, bypass Road, Mannuthy, Thrissur, Kerala 680651",Thrissur,Kerala,+91 48723 78891,08:30 AM - 08:30 PM,"Car A/C service, Tyre replacement, Puncture repair",,,,,
7.08E+09,10.40544,76.27696,Simon tyre,"Simon Tyres & Wheel Alignment, Main Road, Puthukkad, Kerala 680301",Puthukkad,Kerala,+91 48027 51104,09:00 AM - 08:00 PM,"Wheel alignment, Balancing, Tyre replacement",,,,,
7.09E+09,13.00761,77.54852,Karnataka,"Karnataka Tyre Traders & Puncture Shop, West of Chord Road, Rajajinagar, Bengaluru, Karnataka 560010",Bengaluru,Karnataka,+91 80233 22114,08:30 AM - 09:00 PM,"Tyre sales, Puncture repair, Air service",,,,,
7.11E+09,10.47072,76.24341,John Tyres,"John Tyres & Vulcanizing Station, Ollur Road, Thrissur, Kerala 680306",Thrissur,Kerala,+91 48723 52210,08:30 AM - 08:30 PM,"Puncture repair, Vulcanizing, Tube sales",,,,,
7.11E+09,10.58672,76.21488,Royal Tyres,"Royal Tyres & 3D Wheel Alignment Plaza, Shornur Road, Thrissur, Kerala 680022",Thrissur,Kerala,+91 48723 35512,09:00 AM - 08:30 PM,"3D Wheel alignment, Balancing, Tyre sales",,,,,
7.12E+09,10.75576,76.20593,Metro Tyre,"Metro Tyres & Tube Traders, Main Road, Cheruthuruthy, Kerala 679531",Cheruthuruthy,Kerala,+91 48842 62110,08:30 AM - 08:00 PM,"Tyre replacement, Puncture repair, Tubeless patch",,,,,
7.12E+09,10.50853,76.21124,V.J.R Indus,"V.J.R Industrial Tyre Retreading Works, Chiyyaram, Thrissur, Kerala 680026",Thrissur,Kerala,+91 48722 55104,08:00 AM - 07:30 PM,"Tyre retreading, Heavy vulcanizing repair",,,,,
7.13E+09,8.493414,77.03123,swami tyre,"Swami Tyre Clinic & Puncture Shop, Balaramapuram, Thiruvananthapuram, Kerala 695501",Thiruvananthapuram,Kerala,+91 98470 55612,08:00 AM - 09:30 PM,"Puncture repair, Tubeless patch, Air service",,,,,
7.13E+09,8.486587,76.94641,Appolo Tyr,"Apollo Tyres - Sri Vinayaka Wheels, Karamana, Thiruvananthapuram, Kerala 695002",Thiruvananthapuram,Kerala,+91 47123 44102,09:00 AM - 08:30 PM,"Tyre sales, Wheel alignment, Balancing",,,,,
7.13E+09,8.486413,76.94252,Classic Tyr,"Classic Tyres & Wheel Alignment Lounge, Killipalam, Thiruvananthapuram, Kerala 695002",Thiruvananthapuram,Kerala,+91 47123 55114,09:00 AM - 08:00 PM,"Wheel alignment, Balancing, Tyre replacement",,,,,
7.13E+09,8.489275,76.93453,MRF Tire St,"MRF T&S - Exclusive Showroom, Attakulangara, Thiruvananthapuram, Kerala 695023",Thiruvananthapuram,Kerala,+91 47124 66119,09:00 AM - 08:00 PM,"Tyre sales, Alignment, Wheel balancing",,,,,
7.13E+09,8.487801,76.9415,Aswathy Ty,"Aswathy Tyres & Vulcanizing Station, Chalai, Thiruvananthapuram, Kerala 695036",Thiruvananthapuram,Kerala,+91 47124 77102,08:30 AM - 08:30 PM,"Puncture repair, Vulcanizing, Tube sales",,,,,
7.16E+09,8.609702,76.99806,Tyre Repai,"Express Tyre Repair & Puncture Point, Nedumangad Road, Thiruvananthapuram, Kerala 695541",Thiruvananthapuram,Kerala,+91 94465 22401,24 Hours,"Emergency puncture service, Tubeless patch",,,,,
7.16E+09,12.95925,77.53316,MRF Marut,"MRF T&S - Maruti Tyre Care, Vijayanagar, Bengaluru, Karnataka 560040",Bengaluru,Karnataka,+91 80233 01156,09:00 AM - 08:30 PM,"Tyre sales, Wheel alignment, Balancing",,,,,
7.18E+09,12.97194,77.68057,Tyre Marks,"Tyre Marks Multi Brand Hub, Outer Ring Road, Mahadevapura, Bengaluru, Karnataka 560048",Bengaluru,Karnataka,+91 80414 33102,09:30 AM - 08:30 PM,"Premium tyre sales, Wheel alignment",,,,,
7.18E+09,11.9271,79.80731,JKV Tyres,"JKV Tyres & Wheel Realignment Plaza, Cuddalore Main Road, Puducherry 605004",Puducherry,Puducherry,+91 41322 55112,09:00 AM - 08:00 PM,"Wheel alignment, Balancing, Tyre replacement",,,,,
7.21E+09,9.568942,76.71646,Tyre Point,"Tyre Point Hub & Vulcanizing Station, Kanjirappally Road, Ponkunnam, Kerala 686506",Ponkunnam,Kerala,+91 48282 21104,08:30 AM - 08:30 PM,"Puncture repair, Tubeless patch, Tyre replacement",,,,,
7.22E+09,9.557489,76.5716,Topsun Tyr,"Topsun Tyres & Multi Brand Alignment, Manarcadu, Kottayam, Kerala 686019",Kottayam,Kerala,+91 48125 77114,09:00 AM - 08:00 PM,"Wheel alignment, Balancing, Tyre sales",,,,,
7.23E+09,10.02811,76.65936,Mahin,"Mahin Tyres & Puncture Shop, Main Road, Kothamangalam, Kerala 686691",Kothamangalam,Kerala,+91 94472 33410,08:00 AM - 09:00 PM,"Puncture repair, Tubeless patch, Air service",,,,,
7.26E+09,13.02793,77.57157,Bharath Au,"Bharath Automobiles & Tyre Plaza, New BEL Road, Bengaluru, Karnataka 560054",Bengaluru,Karnataka,+91 80236 00551,09:00 AM - 08:30 PM,"Tyre replacement, Balancing, Accessories",,,,,
7.29E+09,12.9622,77.5954,Ashoka Tyr,"Ashoka Tyre House, Richmond Road, Richmond Town, Bengaluru, Karnataka 560025",Bengaluru,Karnataka,+91 80222 11045,09:00 AM - 08:00 PM,"Tyre sales, Alignment, Balancing",,,,,
7.30E+09,9.598518,76.65181,karimpeec,"Karimpeeckal Tyres & Rubber Works, Pampady, Kottayam, Kerala 686502",Pampady,Kerala,+91 48124 11562,08:30 AM - 07:30 PM,"Tyre retreading, Vulcanizing, Puncture repair",,,,,
7.31E+09,9.480153,76.60449,Sethu tyre,"Sethu Tyres & Wheel Alignment Center, Karukachal, Kerala 686540",Karukachal,Kerala,+91 48124 88102,09:00 AM - 08:00 PM,"Wheel alignment, Balancing, Tyre replacement",,,,,
